subject,gender,walking_pace,steps_per_min
1,Male,1.740139211136891,104.40835266821345
2,Male,1.839080459770115,110.34482758620689
3,Male,1.6703296703296704,100.21978021978022
4,Female,1.7133305474300042,102.79983284580025
5,Female,1.880484747179273,112.82908483075637
6,Male,1.7582417582417584,105.4945054945055
7,Female,1.9246861924686192,115.48117154811715
8,Male,1.888375996642887,113.30255979857323
9,Male,1.7387944358578051,104.3276661514683
10,Female,1.777434312210201,106.64605873261206
11,Female,1.6217870257037943,97.30722154222765
12,Male,1.6817063166529944,100.90237899917966
13,Male,1.6796394920114706,100.77836952068823
14,Female,1.7873100983020553,107.23860589812332
15,Female,1.8416206261510129,110.49723756906077
16,Female,1.8876611418047882,113.25966850828729
17,Male,1.8793706293706296,112.76223776223777
18,Female,1.9230769230769234,115.3846153846154
19,Male,1.7484008528784647,104.90405117270788
20,Female,1.8336886993603412,110.02132196162047
21,Female,2.2418478260869565,134.5108695652174
22,Male,2.275815217391304,136.54891304347825
23,Female,2.2121014964216004,132.726089785296
24,Female,2.114508783344177,126.87052700065061
25,Male,1.8474374255065553,110.84624553039332
26,Female,1.7282479141835516,103.6948748510131
27,Male,2.1075137446548564,126.45082467929139
28,Male,1.7099236641221374,102.59541984732824
29,Male,1.8528321863419799,111.16993118051879
30,Female,2.170460561143462,130.22763366860772
31,Male,1.7873100983020553,107.23860589812332
